Name ,Organization  
Ian Pootlass ,Nuxalk Nation 
Iris Siwallace ,Nuxalk Nation 
Jason Moody ,Nuxalk Nation 
Scott'e Dodds ,Nuxalk Nation 
Trinity Mack ,Nuxalk Nation 
William Millar ,Canadian Wildlife Federation  
Laura Bernardi ,Canadian Wildlife Federation  
Sarah Sra  ,Canadian Wildlife Federation  
Nick Lapointe  ,Canadian Wildlife Federation  
Nick Manzy-Wright ,Canadian Wildlife Federation  
Betty Rebellato  ,Canadian Wildlife Federation  
Olga Koppel ,Canadian Wildlife Federation 
